t,dt,T_mean_water_c,T_max_water_c,T_min_water_c,T_max_wall_c,T_inner_wall_mean_c,T_inner_wall_max_c,u_max_mps,n_active_bubbles,mean_bubble_R_mm,mean_departed_bubble_R_mm,max_bubble_R_mm,alpha_min,retention_pct,leached_pct,degraded_pct,precipitated_pct,retention2_pct,leached2_pct,degraded2_pct,precipitated2_pct
0.1,0.0,20.00103759765625,20.040618896484375,19.999969482421875,22.374969482421875,21.98681640625,21.98846435546875,0.0,0,0.0,0.0,0.0,1.0,99.99981174698796,0.00017599998468376067,1.2253027357412281e-05,0.0,100.0,0.0,0.0,0.0
1.0999999999999999,0.0,20.011322021484375,20.425445556640625,19.9998779296875,24.974395751953125,22.9638671875,22.96490478515625,0.00027956103440374136,0,0.0,0.0,0.0,1.0,99.99952936746988,0.0003789784917869721,9.165403833727654e-05,0.0,100.0,0.0,0.0,0.0
2.1000000000000005,0.0,20.022674560546875,20.839141845703125,19.9998779296875,26.86492919921875,24.552154541015625,24.56121826171875,0.0009790138574317098,0,0.0,0.0,0.0,1.0,99.99942896586346,0.0003799978269630647,0.00019103630957840594,0.0,100.0,0.0,0.0,0.0
3.2000000000000015,0.0,20.03692626953125,21.3355712890625,19.9998779296875,28.770599365234375,26.348175048828125,26.37445068359375,0.0021171688567847013,0,0.0,0.0,0.0,1.0,99.99932228915662,0.0003800389757118072,0.0002976718676648371,0.0,100.0,0.0,0.0,0.0
4.200000000000001,0.0,20.051727294921875,21.807891845703125,19.9998779296875,30.436309814453125,27.94183349609375,27.9906005859375,0.003408486023545265,0,0.0,0.0,0.0,1.0,99.9992469879518,0.0003801074851468864,0.0003729045630462271,0.0,100.0,0.0,0.0,0.0
5.1999999999999975,0.0,20.06829833984375,22.295867919921875,19.9998779296875,32.054901123046875,29.490692138671875,29.5677490234375,0.004886008333414793,0,0.0,0.0,0.0,1.0,99.99915286144578,0.00038023693973280817,0.00046690161448799725,0.0,100.0,0.0,0.0,0.0
6.099999999999994,0.0,20.084808349609375,22.74774169921875,19.9998779296875,33.4759521484375,30.848114013671875,30.95513916015625,0.0063386112451553345,0,0.0,0.0,0.0,1.0,99.99905873493977,0.00038043069073474074,0.0005608343694995457,0.0,100.0,0.0,0.0,0.0
7.099999999999991,0.0,20.10491943359375,23.26922607421875,19.9998779296875,35.018829345703125,32.318878173828125,32.46368408203125,0.00805981270968914,0,0.0,0.0,0.0,1.0,99.99897088353414,0.0003807698387697519,0.0006483466270884856,0.0,100.0,0.0,0.0,0.0
8.009990460700179,0.0,20.125,23.757415771484375,19.9998779296875,36.375732421875,33.642364501953125,33.82537841796875,0.009690442122519016,0,0.0,0.0,0.0,1.0,99.99894578313253,0.0003812309249816649,0.0006729859424915362,0.0,100.0,0.0,0.0,0.0
8.78541587108476,0.0,20.14349365234375,24.1802978515625,19.999847412109375,37.5037841796875,34.75384521484375,34.972137451171875,0.011088854633271694,0,0.0,0.0,0.0,1.0,99.99894578313253,0.0003817946795957634,0.0006724221878774377,0.0,100.0,0.0,0.0,0.0
